classname,classoutline,teacher,test,remote,homework,numofunits,when,semester,unitclass,keyword,class,course,difficulty
コンピュテーショナルフォトグラフィ特論AI,画像の認識・理解・生成のために，撮影済みの画像の処理方法だけでなく，画像の撮影方法（カメラ・照明）を工夫することも考えられる．この授業では，画像の認識・理解・生成のために画像の撮影方法と処理方法の両方を工夫する方法論であるコンピュテーショナルフォトグラフィについて解説する．また，関連分野の最新の文献を受講者から紹介してもらい議論する．,岡部孝弘,no,yes,4,2,火曜２限・金曜３限,第4クォーター,選必,コンピュテーショナルフォトグラフィ，コンピュータビジョン，画像処理,専門深化,人工知能,
コンピュテーショナルフォトグラフィ特論MI,画像の認識・理解・生成のために，撮影済みの画像の処理方法だけでなく，画像の撮影方法（カメラ・照明）を工夫することも考えられる．この授業では，画像の認識・理解・生成のために画像の撮影方法と処理方法の両方を工夫する方法論であるコンピュテーショナルフォトグラフィについて解説する．また，関連分野の最新の文献を受講者から紹介してもらい議論する．,岡部孝弘,no,yes,4,2,火曜２限・金曜３限,第4クォーター,選必,コンピュテーショナルフォトグラフィ，コンピュータビジョン，画像処理,専門深化,メディア情報学,4
コンピュータアニメーション特論AI,コンピュータアニメーションの応用技術を学習する。コンピュータアニメーションを利用したソフトウェアを開発する上で役に立つ最新技術を、実際の演習を交えながら習得することを目標とする。本授業の講義スライドやプログラミング演習の資料は、下記の授業のウェブページで公開する。http://www.ha.ai.kyutech.ac.jp/lecture/aca/,尾下真樹,yes,yes,5,2,月曜１限・木曜３限,第1クォーター,選必,コンピュータアニメーション、コンピュータグラフィックス、OpenGL、アプリケーション開発,専門深化,人工知能,
コンピュータアニメーション特論MI,コンピュータアニメーションの応用技術を学習する。コンピュータアニメーションを利用したソフトウェアを開発する上で役に立つ最新技術を、実際の演習を交えながら習得することを目標とする。本授業の講義スライドやプログラミング演習の資料は、下記の授業のウェブページで公開する。http://www.ha.ai.kyutech.ac.jp/lecture/aca/,尾下真樹,yes,yes,3,2,月曜１限・木曜３限,第1クォーター,選必,コンピュータアニメーション、コンピュータグラフィックス、OpenGL、アプリケーション開発,専門深化,メディア情報学,4
サイバーセキュリティ,近年頻発するサイバー攻撃を紹介しつつ、その対策や組織内における運用、その運用体制について講義する。,荒木俊輔,yes,no,1,1,木曜３限,第4クォーター,選,サーバー攻撃、サイバーセキュリティ、インシデント対応、セキュリティ運用,社会駆動,金融・流通,1
スポーツ情報学特論,スポーツ情報学はスポーツ科学と情報学の学際的な研究領域と言える。本授業では、スポーツ情報学に関わる多様な研究を理解するとともに，ICTが実際のスポーツ場面においてどのように活用されているかについて体験的に学習する。,山田雅之,yes,no,4,1,月曜４限,第2クォーター,選,スポーツと情報、ゲーム分析、熟達化、コーチング、スポーツマネージメント,GEプログラム,,
ダイバーシティ特論,ダイバーシティの視点について学んだうえで、これまで当然のものとしてとらえられてきた事象に潜む問題について検討します。そのうえで、現代社会において多様な個性、価値観、考え方などをどのように生かすことができるか考え、ダイバーシティの視点を用いながら、各自の生き方を再考することをねらいとします。,金子研太,yes,no,1,1,金曜２限,第3クォーター,選,ダイバーシティ社会的公正,GEプログラム,,2
チームソフトウェアプロセスI,プロジェクトチームが従うチームソフトウェアプロセスについての講義・演習を通してプロジェクトの合理的マネジメントを学習させる．講義では，プロジェクトの要件と品質とスケジュールの目標の設定と見積もり，自立チームの構築，プロジェクト計画の作成と遂行の追跡，プロジェクトメンバー間のコミュニケーションなどの手法を導入する．また、演習では，ひとつのソフトウェアシステムについて2〜3サイクルからなる開発計画を立案させ、そのサイクル1を実行させる．,梅田政信,yes,no,4,2,月曜３限・月曜４限,第3クォーター,選,チームソフトウェアプロセス，自律チーム，プロジェクトの合理的マネジメント，循環開発プロセス，プロジェクトラウンチ（発進），チーム構築，チームコミュニケーション，プロジェクト計画作成，獲得価値、プロジェクト品質目標，ワークブレークダウンストラクチャ(WBS),社会駆動,ソフトウェア開発プロセス,
チームソフトウェアプロセスII,プロジェクトチームが従うチームソフトウェアプロセスについての講義・演習を通してプロジェクトの合理的マネジメントを学習させる．「チームソフトウエアプロセス演習演習1」で実施したサイクル1の結果を踏まえて，サイクル2のプロジェクトの要件と品質とスケジュールの目標の設定と見積もり，自立チームの構築，プロジェクト計画の作成と遂行の追跡，プロジェクトメンバー間のコミュニケーションなどについて演習させる．,梅田政信,yes,no,4,1,月曜３限・月曜４限,第4クォーター,選,チームソフトウェアプロセス，自律チーム，プロジェクトの合理的マネジメント，循環開発プロセス，プロジェクトラウンチ（発進），チーム構築，チームコミュニケーション，プロジェクト計画作成，獲得価値、プロジェクト品質目標，ワークブレークダウンストラクチャ(WBS),社会駆動,ソフトウェア開発プロセス,
デザインシンキング入門演習,〇先行きが見えない時代の中、これまでにない発想力で新製品や新規事業を創造できる人材が求められている。企業へ就職する場合でも、一方ベンチャーを自ら起業していく場合でも、世の中の課題をいち早くキャッチし、その課題を解決するためにこれまでにないアイデアを具現化していく熱意が重要であり、このような起業家精神（アントレプレナーシップ）は多くの企業で求められるマインドである。〇中でも「デザインシンキング（デザイン思考）」はアントレプレナーシップ教育の根幹をなす方法論であり、長年スタンフォード大学で実施されてきた手法である。シリコンバレーの様々な企業が新規事業の創出やイノベーション創出に用いてきた歴史があり、日本国内の企業でも導入されつつある。そのため、就職活動にすぐに生かせる実践的な内容である。〇本授業では、デザインシンキングについて演習を通してその考え方や方法論を学び、技術者や起業家として仕事を行う際に必要とされる「課題発見・解決能力」と「コミュニケーション能力」の向上を図り、実社会で中心となって活躍できる人材を育成することを目的とする。,中藤良久,yes,no,4,1,水曜５限・水曜６限,第1クォーター,選,起業家精神、アントレプレナーシップ、デザインシンキング（デザイン思考）、ペルソナ,社会駆動,アントレプレナーシップ,2
デジタル画像処理特論CR,人が思考する際に、画像処理は、画像を情報化する重要な手法である。また、実際に研究を遂行する多様な場面で、計算機を用いた画像処理が必要となる。本講義では、計算機で画像処理を行うための基礎と日常に使用されている画像処理技術を取り上げる。デジタル画像処理技術を通して、思考を数理化するための技術を講義する。また，実際の応用例として，たとえば，医用画像（ＣＴ）や生体の電子顕微鏡写真などを用い，現場での使用例を講義する。,安永卓生,yes,no,4,2,月曜２限・金曜２限,第1クォーター,選,デジタル画像処理、フーリエ変換、コンピュータトモグラフィー、画像分類、電子顕微鏡、医用画像,社会駆動,画像認識,
トレーディングアルゴリズム,株取引における基礎知識やテクニカル指標について概説するとともに、Pythonによるプログラムを用いて株の自動取引を行うための基本的な手法について説明する。また、バックテストを用いた取引アルゴリズムの評価について説明するとともに、自動取引に必要なwebスクレイピング技術についても触れる。,藤原暁宏,yes,no,4,1,水曜３限,第2クォーター,選,フィンテック，アルゴリズムトレード,社会駆動,金融・流通,
ネットワーク経済学,マーケットデザイン、特にマッチングとオークションの基礎を学ぶ。,大石英貴,yes,no,2,1,月曜４限,第4クォーター,選,マッチングオークション,GEプログラム,,2
ネットワーク解析特論,ネットワーク（グラフ）は、生物学、社会学、生態学、情報インフラストラクチャー、WWW、インターネットなど、多くの分野の複雑なシステムを記述することができる強力なモデルである。ビッグデータ時代の到来からネットワークデータは日々蓄積されており、このようなデータから知識抽出することが求められている。本講義では、このような大規模で複雑なネットワークを解析・知識抽出するための理論、モデル、計算手法について実例を交えながら紹介する。特に、社会ネットワーク（SNS）解析、生体分子ネットワーク解析、生態系ネットワーク解析、などの応用についても言及する。,竹本和広,yes,yes,2,2,非同期,第1クォーター,選,データ科学，複雑ネットワーク,基礎科目,,2
パーソナルソフトウェアプロセスI,個人がプログラムを開発するためのソフトウェアプロセス(PSP)の基本的知識を講義し，演習を通して実践的なスキルを修得させる．本授業の導入内容は、パーソナルプロセス，プログラム開発の測定，そのために必要な標準，測定データに基づくソフトウェア規模と開発時間の見積もり手法，計画立案手法，品質測定手法である．,梅田政信,yes,no,4,2,月曜３限・月曜４限,第1クォーター,選,パーソナルプロセス，プロセス測定，コーディング標準，PROBE，獲得価値,社会駆動,ソフトウェア開発プロセス,
パーソナルソフトウェアプロセスII,ソフトウェアの品質は，その構成要素であるソフトウェアコンポーネントの品質に依存する．本授業では、「パーソナルソフトウェアプロセス(PSP)計画演習」で学んだことを基礎に，さらに，プログラムの品質目標を設定し，それを達成するために，計画立案し追跡する手法を講義し，演習を通して実践的なスキルを修得させる．,梅田政信,yes,no,4,1,月曜３限・月曜４限,第2クォーター,選,パーソナルプロセス，ソフトウェア設計，レビュー，ソフトウェア品質，欠陥作り込み，欠陥除去，欠陥密度，AF/R，イールド,社会駆動,ソフトウェア開発プロセス,
ビジネスプラン演習,〇先行きが見えない時代の中、これまでにない発想力で新製品や新規事業を創造できる人材が求められている。企業へ就職する場合でも、一方ベンチャーを自ら起業していく場合でも、世の中の課題をいち早くキャッチし、その課題を解決するためにこれまでにないアイデアを具現化していく熱意が重要であり、このような起業家精神（アントレプレナーシップ）は多くの企業で求められるマインドである。〇ベンチャー企業を起業する際には、「ビジネスプラン」の作成が必須である。このビジネスプランの良し悪しによって、投資家や銀行などの出資者からの資金が得られるかどうかが決まり、起業できるかどうかが決まることになる。一方、大企業において研究開発や商品開発、プロジェクトの立案など、様々な場面で「ビジネスプラン」の作成が必要となる場面は多い。事業責任者や上司への納得性の高い資料の作成と説明ができることは、ビジネスマンとしての重要な能力・スキルの一つである。そのため、本講義で修得する方法論や考え方は、就職活動にすぐに生かせる実践的な内容であると言える。〇本講義では、ビジネスプランについて演習を通してその考え方や方法論を学び、技術者や起業家が仕事を行う際に重要な能力・スキルの向上を図り、実社会で中心となって活躍できる人材を育成することを目的とする。,中藤良久,yes,no,5,1,水曜４限・水曜６限,第2クォーター,選,起業家精神、アントレプレナーシップ、ビジネスプラン,社会駆動,アントレプレナーシップ,4
ビジネス・人・社会のモデリングES,妥当なビジネスシステムを開発するためには，システムを取り巻く世界を理解する必要がある．本講義では，ビジネス領域のモデル化を行うための技術として，ソフトウェア工学におけるモデル化手法，および社会調査法などで適用される手法を解説する．,中谷多哉子,yes,no,4,2,集中講義,前期,選,オブジェクト指向モデリング，要求工学，UML，ビジネスモデル,社会駆動,アントレプレナーシップ,
ビッグデータ処理特論,本講義では，データマイニングと，機械学習，情報検索等の応用と密接な関係があるビッグデータ（大規模データ）処理について講義を行う．特に，グラフや文字列などの大規模非構造データに対する列挙，探索，最適化のアルゴリズムに焦点をあてて，パターン発見（集合・グラフ発見）や，パターン検索（正規表現検索），テキスト索引（接尾辞木と接尾辞配列）のトピックを中心に学ぶ。,有村博紀,yes,no,1,1,集中講義,前期,選,構造データからの機械学習，データマイニング、頻出・閉アイテム集合、グラフマイニング，テキスト索引，アルゴリズムとデータ構造,社会駆動,AI応用,1
フィナンシャルテクノロジー,金融分野における業務や取り組み事例について概説するとともに、フィンテック業務に携わる情報系技術者との対話を通して、金融分野における情報技術の役割に対する理解を深める。また、海外の金融事業や金融業務におけるデジタルトランスフォーメーションの取り組みを紹介するとともに、グループディスカッションとプレゼンテーションを通して、情報技術を用いた事業の検討を行う。,藤原暁宏,yes,no,4,1,水曜４限,第3クォーター,選,金融業務、フィンテック,社会駆動,金融・流通,
ブロックチェーン,ビットコインを通じて、公開鍵暗号、デジタル署名、プルーフオブワーク、ピアツーピアネットワークなどがどのようにしてブロックチェーンを構成するのかについて講義する。また本分野における最新動向について講義する。,荒木俊輔,no,no,3,1,木曜３限,第3クォーター,選,ブロックチェーン、トランザクション、プルーフオブワーク,社会駆動,金融・流通,2
プロジェクトマネジメント演習ES,一般的なプロジェクトマネジメントの概念とその基礎原理を説明し、それをベースにソフトウェア開発におけるプロジェクトマネジメントについて講義し、演習する。また、フローマネジメントやクリティカルチェーンプロジェクトマネジメントについても講義し、演習する。,峯恵一,yes,no,4,2,集中講義,前期,選,"プロジェクトマネジメント、プロジェクトプロセス、プロジェクト計画、チームビルディング、リスクマネジメント、品質マネジメント、TOC,フローマネジメント、クリティカルチェーンプロジェクトマネジメント",社会駆動,アントレプレナーシップ,
ベンチャービジネス創出論,先行きが見えない時代の中、これまでにない発想力で新製品や新規事業を創造できる人材が求められている。企業へ就職する場合でも、一方ベンチャーを自ら起業していく場合でも、世の中の課題をいち早くキャッチし、その課題を解決するためにこれまでにないアイデアを具現化していく熱意が重要であり、このような起業家精神（アントレプレナーシップ）は多くの企業で求められるマインドである。米国シリコンバレーではイノベーション創出を活発に行う中で多くの新商品や新サービスを生み出してきた歴史があり、日本国内でも徐々に浸透しつつある。本授業では、実際にベンチャー企業を立ち上げた起業家やベンチャー企業で活躍する専門家を招聘し、新しい価値を生み出して社会を変えていくことの意味や実際の起業することの楽しさや難しさなどについて語っていただき、これからの困難な世の中を生きていく上での必要な考え方や能力・スキルなどについて一緒に考える。その結果、本授業を通じて本学の学生・院生等が自ら新しいことに挑戦していき、世の中を変えるような新しい価値を創出できるような人材となっていくための有益な機会となることを期待する。,中藤良久,yes,yes,1,1,水曜４限・水曜５限,第3クォーター,選,起業家精神、アントレプレナーシップ、イノベーション、ベンチャー,GEプログラム,,1
マルチメディア工学特論AI,コンピュータグラフィックスを中心に，画像や音声など種々のメディアにおけるデータの表現や各種処理について講義する．さらに，関連する分野の最新の文献を受講者から紹介してもらい議論する．,乃万司,no,no,4,2,月曜２限・木曜４限,第3クォーター,選必,マルチメディア，コンピュータグラフィックス，アニメーション，仮想現実，擬人化エージェント,専門深化,人工知能,
マルチメディア工学特論MI,コンピュータグラフィックスを中心に，画像や音声など種々のメディアにおけるデータの表現や各種処理について講義する．さらに，関連する分野の最新の文献を受講者から紹介してもらい議論する．,乃万司,no,no,1,2,月曜２限・木曜４限,第3クォーター,選必,マルチメディア，コンピュータグラフィックス，アニメーション，仮想現実，擬人化エージェント,専門深化,メディア情報学,1
並列分散アルゴリズム,並列分散処理のための計算モデル、および、アルゴリズムに関する教育と研究を行う。特に、クラスタ処理を用いた並列処理におけるアルゴリズムや、ブロックチェーン等の分散台帳システムにおいて用いられるコンセンサスアルゴリズムなどに焦点をあてる。,藤原暁宏,no,yes,2,2,非同期,第2クォーター,選,"並列分散処理,アルゴリズム",社会駆動,金融・流通,3
人工知能特論AI,人工知能のうち，データマイニングにおける決定木構築アルゴリズム・相関規則マイニング・クラスタリングについて，それらの手法とアルゴリズムの設計方法について学ぶ．,平田耕一,no,no,2,2,集中講義,前期,選必,決定木，相関規則，クラスタリング,専門深化,人工知能,3
人工知能特論DS,人工知能のうち，データマイニングや機械学習における決定木構築アルゴリズム・相関規則マイニング・クラスタリングについて，それらの手法とアルゴリズムの設計方法について学ぶ．,平田耕一,no,no,2,2,集中講義,前期,選必,決定木，相関規則，クラスタリング,専門深化,データ科学,2
人工知能特論MI,人工知能のうち，データマイニングにおける決定木構築アルゴリズム・相関規則マイニング・クラスタリングについて，それらの手法とアルゴリズムの設計方法について学ぶ．,平田耕一,no,no,2,2,集中講義,前期,選必,決定木，相関規則，クラスタリング,専門深化,メディア情報学,3
人間情報システム特論AI,一人ひとりの状態に応じてニーズに合ったきめ細やかなサービスを自動で提供するシステム（人を中心とした知的システム）を構築するためには，人の行動をいかに計測し，計測した情報から人の状態をいかに推定するかが重要である．本講義では，行動センシング技術，人の状態推定手法について簡単な演習を交えつつ解説する．また，関連分野の最新の文献を受講者から紹介してもらい議論する．,武村紀子,no,no,4,2,水曜３限・金曜２限,第2クォーター,選必,センシング，パターン認識，機械学習,専門深化,人工知能,
人間情報システム特論CR,一人ひとりの状態に応じてニーズに合ったきめ細やかなサービスを自動で提供するシステム（人を中心とした知的システム）を構築するためには，人の行動をいかに計測し，計測した情報から人の状態をいかに推定するかが重要である．本講義では，行動センシング技術，人の状態推定手法について簡単な演習を交えつつ解説する．また，関連分野の最新の文献を受講者から紹介してもらい議論する．,武村紀子,no,no,4,2,水曜３限・金曜２限,第2クォーター,選,センシング，パターン認識，機械学習,社会駆動,画像認識,
人間情報システム特論DS,一人ひとりの状態に応じてニーズに合ったきめ細やかなサービスを自動で提供するシステム（人を中心とした知的システム）を構築するためには，人の行動をいかに計測し，計測した情報から人の状態をいかに推定するかが重要である．本講義では，行動センシング技術，人の状態推定手法について簡単な演習を交えつつ解説する．また，関連分野の最新の文献を受講者から紹介してもらい議論する．,武村紀子,no,no,4,2,水曜３限・金曜２限,第2クォーター,選必,センシング，パターン認識，機械学習,専門深化,データ科学,
人間情報システム特論MI,一人ひとりの状態に応じてニーズに合ったきめ細やかなサービスを自動で提供するシステム（人を中心とした知的システム）を構築するためには，人の行動をいかに計測し，計測した情報から人の状態をいかに推定するかが重要である．本講義では，行動センシング技術，人の状態推定手法について簡単な演習を交えつつ解説する．また，関連分野の最新の文献を受講者から紹介してもらい議論する．,武村紀子,no,no,2,2,水曜３限・金曜２限,第2クォーター,選必,センシング，パターン認識，機械学習,専門深化,メディア情報学,1
代数的組合せ論I,本講義では情報数学に関する数学の中でも特に有限体について講義する。具体的には有限体の存在と一意性及び、その諸性質について講義する。,田上真,no,no,4,1,月曜２限,第1クォーター,選,集合論、整数論、有限体,基礎科目,,4
代数的組合せ論II,本講義では代数的組合せ論を通じて、符号理論の基礎を学ぶ。講義は代数的組合せ論Iで学んだ知識を基に種々の組合せ構造を構築する。この組合せ構造により、固定した符号長に対して、誤り訂正能力が最大である符号を構成することを目標とする。数学がいかに情報科学である符号理論に応用されるかを解説する。,田上真,no,no,2,1,木曜２限,第3クォーター,選,有限体、有限幾何、符号理論,基礎科目,,5
企業経営システム特論,"""本講義は企業が事業運営をする上で必要となる情報システムの事例を取り上げ、情報システムをもつべき要件及びその設計思想について経営におけるＤＸの観点から学ぶ。例えば、社外である顧客との関係を構築するためのシステムであるＣＲＭ（CustomerRelationshipManagement:顧客関係管理）や社内における企業経営の基本となる資源管理のためのシステムであるERP（EnterpriseResourcePlanning:統合基幹業務システム）などが挙げられる。実際にチームでデモ環境を利用したりアイディアソンを行ったりすることで、経営の観点から企業情報システムの設計方針、ＵXに加え経営に繋げるデザイン思考を学ぶ。",,yes,no,1,1,集中講義,前期,選,企業システム，ERP，CRM，デザイン思考,GEプログラム,,2
位相的データ解析特論AI,"データ解析は得られた情報（データ）から特徴を抽出するために不可欠な技術である．通常の（古典的な）データ解析は正規分布などの何らかの分布モデルを仮定して行われる．通常のデータ解析をもとに機械学習を行う場合，その学習結果の当てはまりの良さは仮定した分布モデルが適切なものであるかに依存することになる．ビッグデータのような分布の数理モデルが不明であるもについては適切な分布モデルを探し求めることが問題になる．本授業科目で取り扱う「位相的データ解析」（TopologicalDataAnalysis,TDA）は位相幾何学的手法によりデータのもつ「形」からデータの特徴を抽出する技術であり，分布モデルを仮定する必要はない．本授業科目では，TDAを理解するために必要な数学的基礎理論（位相空間論，ホモロジー論）について解説し，TDAの基本的道具であるパーシストホモロジー群やmapperについて理解することを目的とする．",佐藤好久,yes,no,4,2,月曜２限・水曜２限,第4クォーター,選必,位相空間，可換環，加群，ホモロジー群，パーシステントホモロジー群，mapper,専門深化,人工知能,
位相的データ解析特論DS,"データ解析は得られた情報（データ）から特徴を抽出するために不可欠な技術である．通常の（古典的な）データ解析は正規分布などの何らかの分布モデルを仮定して行われる．通常のデータ解析をもとに機械学習を行う場合，その学習結果の当てはまりの良さは仮定した分布モデルが適切なものであるかに依存することになる．ビッグデータのような分布の数理モデルが不明であるもについては適切な分布モデルを探し求めることが問題になる．本授業科目で取り扱う「位相的データ解析」（TopologicalDataAnalysis,TDA）は位相幾何学的手法によりデータのもつ「形」からデータの特徴を抽出する技術であり，分布モデルを仮定する必要はない．本授業科目では，TDAを理解するために必要な数学的基礎理論（位相空間論，ホモロジー論）について解説し，TDAの基本的道具であるパーシストホモロジー群やmapperについて理解することを目的とする．",佐藤好久,yes,no,4,2,月曜２限・水曜２限,第4クォーター,選必,位相空間，可換環，加群，ホモロジー群，パーシステントホモロジー群，mapper,専門深化,データ科学,
位相的データ解析特論MI,"データ解析は得られた情報（データ）から特徴を抽出するために不可欠な技術である．通常の（古典的な）データ解析は正規分布などの何らかの分布モデルを仮定して行われる．通常のデータ解析をもとに機械学習を行う場合，その学習結果の当てはまりの良さは仮定した分布モデルが適切なものであるかに依存することになる．ビッグデータのような分布の数理モデルが不明であるもについては適切な分布モデルを探し求めることが問題になる．本授業科目で取り扱う「位相的データ解析」（TopologicalDataAnalysis,TDA）は位相幾何学的手法によりデータのもつ「形」からデータの特徴を抽出する技術であり，分布モデルを仮定する必要はない．本授業科目では，TDAを理解するために必要な数学的基礎理論（位相空間論，ホモロジー論）について解説し，TDAの基本的道具であるパーシストホモロジー群やmapperについて理解することを目的とする．",佐藤好久,yes,no,4,2,月曜２限・水曜２限,第4クォーター,選必,位相空間，可換環，加群，ホモロジー群，パーシステントホモロジー群，mapper,専門深化,メディア情報学,
動画像処理基礎,動画像処理の技術は，我々の生活の様々な場面で活用されている．本講義では，動画像処理技術を支える数学について講義，演習により確認する．具体的には，オプティカルフロー推定，対象物体追跡を対象とする．,榎田修一,yes,yes,2,1,非同期,第3クォーター,選,LK法，最小二乗法，MeanShift，勾配法，ParticleFilter，逐次モンテカルロ法,基礎科目,,1
動画像処理特論CR,動画像処理の技術は，我々の生活の様々な場面で活用されている．本講義では，動画像処理技術を支える数学について講義，演習により確認する．具体的には，オプティカルフロー推定，対象物体追跡を対象とする．,榎田修一,yes,yes,4,2,非同期,第3クォーター,選,LK法，最小二乗法，MeanShift，勾配法，ParticleFilter，逐次モンテカルロ法，深層学習,社会駆動,画像認識,
